Comment,Designator,Footprint,LCSC,Quantity
100n,C9,C_0402_1005Metric,,1
~,1,USB-C-SMD_TYPE-C-31-G-08,,1
5.7K,R6,R_0402_1005Metric,,1
LED,D1,LED_0201_0603Metric,,1
W25Q128JVS,U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,,1
RP2040,U3,RP2040-QFN-56,,1
AP2112K-3.3TRG1,U4,SOT95P285X140-5N,,1
100n,C13,C_0402_1005Metric,,1
100n,C5,C_0402_1005Metric,,1
DNF,R2,R_0402_1005Metric,,1
100n,C14,C_0402_1005Metric,,1
100n,C7,C_0402_1005Metric,,1
100n,C11,C_0402_1005Metric,,1
15p,C2,C_0402_1005Metric,,1
15p,C3,C_0402_1005Metric,,1
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
1k,R5,R_0402_1005Metric,,1
1u,C10,C_0402_1005Metric,,1
1u,C8,C_0402_1005Metric,,1
100n,C12,C_0402_1005Metric,,1
27,R3,R_0402_1005Metric,,1
4.7U,C1,C_0402_1005Metric,,1
27,R4,R_0402_1005Metric,,1
100n,C6,C_0402_1005Metric,,1
5.7K,R7,R_0402_1005Metric,,1
470,R8,C_0402_1005Metric,,1
4.7U,C4,C_0402_1005Metric,,1
100n,C15,C_0402_1005Metric,,1
