Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
1,~,USB-C-SMD_TYPE-C-31-G-08,-0.945,31.15,180.0,top
C1,4.7U,C_0402_1005Metric,3.12,28.31,180.0,bottom
C10,1u,C_0402_1005Metric,3.6325,20.205128,270.0,bottom
C11,100n,C_0402_1005Metric,-6.2775,18.485128,-90.0,top
C12,100n,C_0402_1005Metric,3.0225,16.535128,90.0,bottom
C13,100n,C_0402_1005Metric,-6.2775,15.895128,90.0,top
C14,100n,C_0402_1005Metric,0.41,10.107966,-90.0,top
C15,100n,C_0402_1005Metric,2.1525,19.895128,0.0,bottom
C2,15p,C_0402_1005Metric,-1.63,10.557966,-90.0,top
C3,15p,C_0402_1005Metric,-1.11,8.147966,0.0,top
C4,4.7U,C_0402_1005Metric,-0.2,24.6,90.0,bottom
C5,100n,C_0402_1005Metric,2.37,28.44,180.0,top
C6,100n,C_0402_1005Metric,-4.16,19.727966,0.0,bottom
C7,100n,C_0402_1005Metric,1.776725,10.072129,-90.0,top
C8,1u,C_0402_1005Metric,-4.1325,18.700804,0.0,bottom
C9,100n,C_0402_1005Metric,-0.1,19.897966,180.0,bottom
D1,LED,LED_0201_0603Metric,3.04,11.697966,90.0,top
R2,DNF,R_0402_1005Metric,-1.98,27.34,0.0,top
R3,27,R_0402_1005Metric,-3.57,26.42,270.0,bottom
R4,27,R_0402_1005Metric,-2.18,26.37,270.0,bottom
R5,1k,R_0402_1005Metric,-0.6,10.087966,-90.0,top
R6,5.7K,R_0402_1005Metric,-5.36,27.43,-90.0,top
R7,5.7K,R_0402_1005Metric,-0.26,26.54,90.0,bottom
R8,470,C_0402_1005Metric,3.03,13.137966,270.0,bottom
U2,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1.41,26.65,0.0,top
U3,RP2040,RP2040-QFN-56,-1.57,16.375128,0.0,top
U4,AP2112K-3.3TRG1,SOT95P285X140-5N,2.56,25.99,180.0,bottom
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,-4.28,10.117966,180.0,top
